loan_amount,purpose,annual_income,home_ownership,issue_date,emp_length,dti,term,Encoded Homeownership,Encoded Loan Purpose,Income Group,Term (Numeric),,,
9000,major purchase,37017,MORTGAGE,10/11/2021,3 years,0.2428, 36 months,2,7,Medium,36,,,
5000,major purchase,48000,MORTGAGE,11/05/2021,4 years,0.0785, 36 months,2,7,Medium,36,,,
8825,major purchase,64000,MORTGAGE,11/07/2021,4 years,0.0159, 36 months,2,7,Medium,36,,,
1200,major purchase,48000,MORTGAGE,10/06/2021,4 years,0.1745, 36 months,2,7,Medium,36,,,
5000,major purchase,45000,MORTGAGE,10/06/2021,4 years,0.0096, 36 months,2,7,Medium,36,,,
6500,major purchase,95000,MORTGAGE,10/05/2021,4 years,0.1266, 36 months,2,7,Medium,36,,,
8000,major purchase,115000,MORTGAGE,10/06/2021,4 years,0.062, 36 months,2,7,Medium,36,,,
10000,major purchase,33390,MORTGAGE,11/08/2021,4 years,0.1146, 36 months,2,7,Medium,36,,,
5400,major purchase,65000,MORTGAGE,11/06/2021,4 years,0.1255, 36 months,2,7,Medium,36,,,
5000,major purchase,65000,MORTGAGE,11/08/2021,5 years,0.0456, 36 months,2,7,Medium,36,,,
4300,major purchase,86604,MORTGAGE,11/04/2021,5 years,0.0349, 36 months,2,7,Medium,36,,,
10000,major purchase,43000,MORTGAGE,10/05/2021,5 years,0.0586, 36 months,2,7,Medium,36,,,
3500,major purchase,75000,MORTGAGE,11/11/2021,6 years,0.2309, 36 months,2,7,Medium,36,,,
1000,major purchase,98000,MORTGAGE,09/12/2021,6 years,0.0043, 36 months,2,7,Medium,36,,,
3600,major purchase,62000,MORTGAGE,10/02/2021,6 years,0.1651, 36 months,2,7,Medium,36,,,
5600,major purchase,57912,MORTGAGE,11/05/2021,7 years,0.0261, 36 months,2,7,Medium,36,,,
6000,major purchase,50000,MORTGAGE,11/09/2021,7 years,0.1716, 36 months,2,7,Medium,36,,,
1500,major purchase,65004,MORTGAGE,10/07/2021,7 years,0.0414, 36 months,2,7,Medium,36,,,
2000,major purchase,44000,MORTGAGE,11/02/2021,8 years,0.1235, 36 months,2,7,Medium,36,,,
7500,major purchase,47000,MORTGAGE,10/05/2021,8 years,0.1527, 36 months,2,7,Medium,36,,,
4000,major purchase,28500,MORTGAGE,09/11/2021,9 years,0.1764, 36 months,2,7,Low,36,,,
10000,major purchase,75000,MORTGAGE,11/04/2021,9 years,0.1027, 36 months,2,7,Medium,36,,,
10000,major purchase,125000,MORTGAGE,10/02/2021,< 1 year,0.0029, 36 months,2,7,Medium,36,,,
5000,major purchase,100000,MORTGAGE,11/08/2021,1 year,0.1195, 36 months,2,7,Medium,36,,,
10000,major purchase,55000,MORTGAGE,11/11/2021,10+ years,0.194, 36 months,2,7,Medium,36,,,
3000,major purchase,88512,MORTGAGE,10/12/2021,10+ years,0.1283, 36 months,2,7,Medium,36,,,
1200,major purchase,60000,MORTGAGE,09/11/2021,10+ years,0.068, 36 months,2,7,Medium,36,,,
4000,major purchase,63000,MORTGAGE,11/06/2021,10+ years,0.085, 36 months,2,7,Medium,36,,,
5000,major purchase,32500,MORTGAGE,10/01/2021,10+ years,0.0746, 36 months,2,7,Medium,36,,,
2000,major purchase,46000,MORTGAGE,11/02/2021,10+ years,0.0957, 36 months,2,7,Medium,36,,,
2000,major purchase,26000,MORTGAGE,09/10/2021,2 years,0.1371, 36 months,2,7,Low,36,,,
6000,major purchase,106000,MORTGAGE,11/06/2021,2 years,0.108, 36 months,2,7,Medium,36,,,
3100,major purchase,41800,MORTGAGE,10/04/2021,3 years,0.1206, 36 months,2,7,Medium,36,,,
4000,major purchase,48000,MORTGAGE,10/07/2021,3 years,0.2218, 36 months,2,7,Medium,36,,,
3500,major purchase,48000,MORTGAGE,10/07/2021,3 years,0.0633, 36 months,2,7,Medium,36,,,
6000,major purchase,38000,MORTGAGE,11/03/2021,4 years,0.1096, 36 months,2,7,Medium,36,,,
8000,major purchase,56000,MORTGAGE,10/01/2021,4 years,0.0182, 36 months,2,7,Medium,36,,,
7000,major purchase,57600,MORTGAGE,10/04/2021,4 years,0.1127, 36 months,2,7,Medium,36,,,
5000,major purchase,56004,MORTGAGE,09/08/2021,5 years,0.0512, 36 months,2,7,Medium,36,,,
8000,major purchase,40000,MORTGAGE,10/06/2021,5 years,0, 36 months,2,7,Medium,36,,,
7200,major purchase,40000,MORTGAGE,11/07/2021,5 years,0.015, 36 months,2,7,Medium,36,,,
3000,major purchase,30000,MORTGAGE,11/05/2021,6 years,0.2276, 36 months,2,7,Medium,36,,,
8000,major purchase,60000,MORTGAGE,10/11/2021,7 years,0.029, 36 months,2,7,Medium,36,,,
6000,major purchase,77000,MORTGAGE,11/07/2021,7 years,0.0874, 36 months,2,7,Medium,36,,,
5000,major purchase,73200,MORTGAGE,10/07/2021,7 years,0.0898, 36 months,2,7,Medium,36,,,
3500,major purchase,49000,MORTGAGE,10/06/2021,7 years,0.2057, 36 months,2,7,Medium,36,,,
5000,major purchase,39500,MORTGAGE,09/08/2021,8 years,0.1027, 36 months,2,7,Medium,36,,,
5800,major purchase,152004,MORTGAGE,10/10/2021,8 years,0.1152, 36 months,2,7,Medium,36,,,
4800,major purchase,78500,MORTGAGE,10/04/2021,9 years,0.0495, 36 months,2,7,Medium,36,,,
3600,major purchase,45000,MORTGAGE,09/05/2021,< 1 year,0.02, 36 months,2,7,Medium,36,,,
3850,major purchase,170000,MORTGAGE,11/01/2021,< 1 year,0.1592, 36 months,2,7,Medium,36,,,
10000,major purchase,122004,MORTGAGE,09/08/2021,10+ years,0.0285, 36 months,2,7,Medium,36,,,
4500,major purchase,85000,MORTGAGE,10/12/2021,10+ years,0.0621, 36 months,2,7,Medium,36,,,
4575,major purchase,106000,MORTGAGE,10/04/2021,10+ years,0.1789, 36 months,2,7,Medium,36,,,
3600,major purchase,68000,MORTGAGE,10/10/2021,2 years,0.0805, 36 months,2,7,Medium,36,,,
10000,major purchase,84500,MORTGAGE,10/09/2021,3 years,0.0716, 36 months,2,7,Medium,36,,,
6000,major purchase,102996,MORTGAGE,10/08/2021,4 years,0.074, 36 months,2,7,Medium,36,,,
5000,major purchase,75000,MORTGAGE,11/04/2021,6 years,0.0134, 36 months,2,7,Medium,36,,,
6000,major purchase,90000,MORTGAGE,10/03/2021,7 years,0.092, 36 months,2,7,Medium,36,,,
4200,major purchase,63000,MORTGAGE,10/02/2021,7 years,0.0857, 36 months,2,7,Medium,36,,,
4000,major purchase,72000,MORTGAGE,10/06/2021,10+ years,0.1423, 36 months,2,7,Medium,36,,,
5400,major purchase,36000,MORTGAGE,10/06/2021,3 years,0.222, 36 months,2,7,Medium,36,,,
13000,major purchase,57000,MORTGAGE,10/07/2021,4 years,0.1196, 36 months,2,7,Medium,36,,,
6000,major purchase,130992,MORTGAGE,11/09/2021,6 years,0.0474, 36 months,2,7,Medium,36,,,
9000,major purchase,60000,MORTGAGE,10/12/2021,6 years,0.2172, 36 months,2,7,Medium,36,,,
7200,major purchase,82008,MORTGAGE,11/11/2021,7 years,0.1752, 36 months,2,7,Medium,36,,,
6000,major purchase,45000,MORTGAGE,10/06/2021,< 1 year,0.0891, 36 months,2,7,Medium,36,,,
2500,major purchase,43200,MORTGAGE,10/03/2021,10+ years,0, 36 months,2,7,Medium,36,,,
3000,major purchase,91200,MORTGAGE,10/11/2021,10+ years,0.1412, 36 months,2,7,Medium,36,,,
10800,major purchase,100800,MORTGAGE,10/06/2021,10+ years,0.1532, 36 months,2,7,Medium,36,,,
6000,major purchase,68000,MORTGAGE,11/08/2021,10+ years,0.1466, 36 months,2,7,Medium,36,,,
10000,major purchase,125000,MORTGAGE,10/04/2021,10+ years,0.2395, 36 months,2,7,Medium,36,,,
6900,major purchase,60000,MORTGAGE,11/08/2021,2 years,0.0204, 36 months,2,7,Medium,36,,,
8000,major purchase,38000,MORTGAGE,11/06/2021,2 years,0.0793, 36 months,2,7,Medium,36,,,
3000,major purchase,50000,MORTGAGE,11/05/2021,2 years,0.215, 36 months,2,7,Medium,36,,,
10000,major purchase,60000,MORTGAGE,11/10/2021,2 years,0.1806, 36 months,2,7,Medium,36,,,
25000,major purchase,105000,MORTGAGE,09/11/2021,2 years,0.0821, 36 months,2,7,Medium,36,,,
6000,major purchase,40000,MORTGAGE,09/04/2021,2 years,0.006, 36 months,2,7,Medium,36,,,
16250,major purchase,77940,MORTGAGE,10/04/2021,3 years,0.1145, 36 months,2,7,Medium,36,,,
5000,major purchase,63000,MORTGAGE,10/01/2021,5 years,0.1375, 36 months,2,7,Medium,36,,,
2000,major purchase,50000,MORTGAGE,11/08/2021,5 years,0.1699, 36 months,2,7,Medium,36,,,
5500,major purchase,67440,MORTGAGE,10/04/2021,6 years,0.2257, 36 months,2,7,Medium,36,,,
3250,major purchase,67200,MORTGAGE,10/07/2021,6 years,0.1693, 36 months,2,7,Medium,36,,,
5000,major purchase,40000,MORTGAGE,11/03/2021,6 years,0.0723, 36 months,2,7,Medium,36,,,
8000,major purchase,39996,MORTGAGE,10/05/2021,7 years,0.0381, 36 months,2,7,Medium,36,,,
10000,major purchase,86000,MORTGAGE,10/03/2021,7 years,0, 36 months,2,7,Medium,36,,,
12000,major purchase,65000,MORTGAGE,10/05/2021,7 years,0.0908, 36 months,2,7,Medium,36,,,
5000,major purchase,36000,MORTGAGE,10/12/2021,8 years,0.0123, 36 months,2,7,Medium,36,,,
6000,major purchase,90000,MORTGAGE,10/12/2021,8 years,0.0976, 36 months,2,7,Medium,36,,,
5000,major purchase,60000,MORTGAGE,10/01/2021,8 years,0.0892, 36 months,2,7,Medium,36,,,
20000,major purchase,47472,MORTGAGE,09/12/2021,9 years,0.0677, 36 months,2,7,Medium,36,,,
2000,major purchase,96000,MORTGAGE,10/06/2021,10+ years,0.1129, 36 months,2,7,Medium,36,,,
6500,major purchase,32400,MORTGAGE,11/05/2021,10+ years,0.0911, 36 months,2,7,Medium,36,,,
3800,major purchase,65000,MORTGAGE,10/07/2021,10+ years,0.1545, 36 months,2,7,Medium,36,,,
5500,major purchase,44000,MORTGAGE,11/05/2021,3 years,0.2441, 36 months,2,7,Medium,36,,,
1750,major purchase,30000,MORTGAGE,10/02/2021,3 years,0.0776, 36 months,2,7,Medium,36,,,
2400,major purchase,78000,MORTGAGE,10/07/2021,4 years,0.1951, 36 months,2,7,Medium,36,,,
10000,major purchase,40000,MORTGAGE,10/04/2021,8 years,0.1521, 36 months,2,7,Medium,36,,,
3000,major purchase,120000,MORTGAGE,11/07/2021,8 years,0.1876, 36 months,2,7,Medium,36,,,
2100,major purchase,50000,MORTGAGE,11/11/2021,4 years,0.1428, 36 months,2,7,Medium,36,,,
4000,major purchase,18000,MORTGAGE,09/10/2021,1 year,0.028, 36 months,2,7,Low,36,,,
3500,major purchase,35000,MORTGAGE,09/08/2021,10+ years,0.0758, 36 months,2,7,Medium,36,,,
1200,major purchase,30000,MORTGAGE,11/06/2021,2 years,0.214, 36 months,2,7,Medium,36,,,
6000,major purchase,84000,MORTGAGE,11/10/2021,2 years,0.1554, 36 months,2,7,Medium,36,,,
8000,major purchase,54000,MORTGAGE,11/06/2021,3 years,0.0724, 36 months,2,7,Medium,36,,,
5500,major purchase,27996,MORTGAGE,10/06/2021,4 years,0.1492, 36 months,2,7,Low,36,,,
5500,major purchase,85000,MORTGAGE,11/10/2021,4 years,0.1859, 36 months,2,7,Medium,36,,,
12000,major purchase,90000,MORTGAGE,11/07/2021,6 years,0.2352, 36 months,2,7,Medium,36,,,
24000,major purchase,92000,MORTGAGE,10/02/2021,6 years,0.1569, 36 months,2,7,Medium,36,,,
4000,major purchase,60000,MORTGAGE,11/10/2021,6 years,0.0496, 36 months,2,7,Medium,36,,,
4000,major purchase,46000,MORTGAGE,11/02/2021,8 years,0.1343, 36 months,2,7,Medium,36,,,
5000,major purchase,80000,MORTGAGE,10/07/2021,8 years,0.07, 36 months,2,7,Medium,36,,,
12000,major purchase,110000,MORTGAGE,11/04/2021,< 1 year,0.0782, 36 months,2,7,Medium,36,,,
2400,major purchase,91000,MORTGAGE,11/10/2021,10+ years,0.1095, 36 months,2,7,Medium,36,,,
25000,major purchase,132000,MORTGAGE,10/04/2021,10+ years,0.0917, 36 months,2,7,Medium,36,,,
1800,major purchase,76992,MORTGAGE,09/09/2021,8 years,0.053, 36 months,2,7,Medium,36,,,
4000,major purchase,66420,MORTGAGE,09/12/2021,1 year,0.1984, 36 months,2,7,Medium,36,,,
5000,major purchase,39600,MORTGAGE,11/01/2021,10+ years,0.0933, 36 months,2,7,Medium,36,,,
18000,major purchase,85000,MORTGAGE,10/04/2021,5 years,0.0184, 36 months,2,7,Medium,36,,,
12000,major purchase,98000,MORTGAGE,11/03/2021,7 years,0.0676, 36 months,2,7,Medium,36,,,
6000,major purchase,900000,MORTGAGE,09/11/2021,8 years,0.017, 36 months,2,7,Medium,36,,,
4400,major purchase,48000,MORTGAGE,09/10/2021,< 1 year,0.0352, 36 months,2,7,Medium,36,,,
4800,major purchase,54600,MORTGAGE,11/08/2021,10+ years,0.1415, 36 months,2,7,Medium,36,,,
20000,major purchase,93600,MORTGAGE,10/03/2021,10+ years,0.0058, 36 months,2,7,Medium,36,,,
5000,major purchase,80000,MORTGAGE,10/03/2021,5 years,0.1081, 36 months,2,7,Medium,36,,,
4500,major purchase,83004,MORTGAGE,10/09/2021,3 years,0.2202, 36 months,2,7,Medium,36,,,
10000,major purchase,60000,MORTGAGE,10/02/2021,8 years,0.0806, 36 months,2,7,Medium,36,,,
3600,major purchase,55000,MORTGAGE,08/03/2021,10+ years,0.1351, 36 months,2,7,Medium,36,,,
2000,major purchase,124000,MORTGAGE,11/06/2021,2 years,0.1575, 36 months,2,7,Medium,36,,,
3200,major purchase,96000,MORTGAGE,10/05/2021,5 years,0.0031, 36 months,2,7,Medium,36,,,
6000,major purchase,102000,MORTGAGE,10/08/2021,6 years,0.2455, 36 months,2,7,Medium,36,,,
8000,major purchase,60000,MORTGAGE,10/05/2021,8 years,0.1776, 36 months,2,7,Medium,36,,,
4900,major purchase,127000,MORTGAGE,10/07/2021,5 years,0.0693, 36 months,2,7,Medium,36,,,
10000,major purchase,46116,MORTGAGE,08/03/2021,10+ years,0.1304, 36 months,2,7,Medium,36,,,
5000,major purchase,80000,MORTGAGE,11/05/2021,10+ years,0.0979, 36 months,2,7,Medium,36,,,
9500,major purchase,72000,MORTGAGE,11/08/2021,10+ years,0.2198, 36 months,2,7,Medium,36,,,
2500,major purchase,83000,MORTGAGE,11/06/2021,10+ years,0.2229, 36 months,2,7,Medium,36,,,
1000,major purchase,88000,MORTGAGE,10/02/2021,2 years,0.1034, 36 months,2,7,Medium,36,,,
4000,major purchase,250000,MORTGAGE,10/02/2021,2 years,0.1491, 36 months,2,7,Medium,36,,,
4000,major purchase,128400,MORTGAGE,10/11/2021,3 years,0.0865, 36 months,2,7,Medium,36,,,
5000,major purchase,83200,MORTGAGE,11/06/2021,3 years,0.1376, 36 months,2,7,Medium,36,,,
1500,major purchase,58000,MORTGAGE,09/12/2021,4 years,0.1732, 36 months,2,7,Medium,36,,,
1500,major purchase,85000,MORTGAGE,11/04/2021,6 years,0.2082, 36 months,2,7,Medium,36,,,
1500,major purchase,96000,MORTGAGE,10/01/2021,< 1 year,0.1597, 36 months,2,7,Medium,36,,,
8000,major purchase,58000,MORTGAGE,11/01/2021,10+ years,0.1463, 36 months,2,7,Medium,36,,,
5000,major purchase,98300,MORTGAGE,10/10/2021,3 years,0.0665, 36 months,2,7,Medium,36,,,
7000,major purchase,100000,MORTGAGE,10/07/2021,10+ years,0.0798, 36 months,2,7,Medium,36,,,
4200,major purchase,78000,MORTGAGE,11/04/2021,10+ years,0.1382, 36 months,2,7,Medium,36,,,
5600,major purchase,25500,MORTGAGE,08/07/2021,8 years,0.0268, 36 months,2,7,Low,36,,,
2500,major purchase,62000,MORTGAGE,11/09/2021,9 years,0.204, 36 months,2,7,Medium,36,,,
7200,major purchase,60000,MORTGAGE,10/11/2021,< 1 year,0.117, 36 months,2,7,Medium,36,,,
12000,major purchase,80000,MORTGAGE,10/04/2021,1 year,0.1187, 36 months,2,7,Medium,36,,,
1925,major purchase,36000,MORTGAGE,11/06/2021,10+ years,0.2457, 36 months,2,7,Medium,36,,,
6000,major purchase,60000,MORTGAGE,10/02/2021,6 years,0.0282, 36 months,2,7,Medium,36,,,
1500,major purchase,53004,MORTGAGE,09/06/2021,10+ years,0.0951, 36 months,2,7,Medium,36,,,
4000,major purchase,50000,MORTGAGE,11/01/2021,3 years,0.0204, 36 months,2,7,Medium,36,,,
3000,major purchase,50000,MORTGAGE,09/07/2021,6 years,0.1493, 36 months,2,7,Medium,36,,,
2000,major purchase,21600,MORTGAGE,10/09/2021,< 1 year,0.1611, 36 months,2,7,Low,36,,,
2400,major purchase,45868,MORTGAGE,11/01/2021,2 years,0.181, 36 months,2,7,Medium,36,,,
2500,major purchase,444000,MORTGAGE,09/12/2021,4 years,0.0018, 36 months,2,7,Medium,36,,,
2750,major purchase,80000,MORTGAGE,09/04/2021,5 years,0.0355, 36 months,2,7,Medium,36,,,
11200,major purchase,43008,MORTGAGE,09/12/2021,< 1 year,0.2185, 36 months,2,7,Medium,36,,,
20000,major purchase,259000,MORTGAGE,09/04/2021,10+ years,0.1697, 36 months,2,7,Medium,36,,,
2500,major purchase,18000,MORTGAGE,10/08/2021,1 year,0.2407, 36 months,2,7,Low,36,,,
6000,major purchase,61200,MORTGAGE,09/03/2021,< 1 year,0.1475, 36 months,2,7,Medium,36,,,
3000,major purchase,41600,MORTGAGE,09/04/2021,2 years,0.1895, 36 months,2,7,Medium,36,,,
20000,major purchase,90996,MORTGAGE,10/12/2021,10+ years,0.0902, 36 months,2,7,Medium,36,,,
5175,major purchase,27442.02,MORTGAGE,10/04/2021,10+ years,0.2475, 36 months,2,7,Low,36,,,
4000,major purchase,46500,MORTGAGE,10/03/2021,1 year,0.0865, 36 months,2,7,Medium,36,,,
3900,major purchase,45000,MORTGAGE,10/05/2021,< 1 year,0.1997, 36 months,2,7,Medium,36,,,
3600,major purchase,65004,MORTGAGE,11/07/2021,10+ years,0.1359, 36 months,2,7,Medium,36,,,
8000,major purchase,130000,MORTGAGE,11/06/2021,3 years,0.0342, 36 months,2,7,Medium,36,,,
5550,major purchase,45300,MORTGAGE,09/03/2021,3 years,0.0826, 36 months,2,7,Medium,36,,,
10000,major purchase,72900,MORTGAGE,10/02/2021,3 years,0.0329, 36 months,2,7,Medium,36,,,
3500,major purchase,48732,OTHER,09/07/2021,6 years,0.0894, 36 months,0,7,Medium,36,,,
6000,major purchase,160000,OTHER,08/04/2021,10+ years,0.0013, 36 months,0,7,Medium,36,,,
2500,major purchase,186000,OTHER,09/09/2021,3 years,0.0406, 36 months,0,7,Medium,36,,,
3000,major purchase,25992,OTHER,08/05/2021,10+ years,0.1482, 36 months,0,7,Low,36,,,
5600,major purchase,78000,OTHER,08/07/2021,4 years,0.0426, 36 months,0,7,Medium,36,,,
8400,major purchase,45500,OWN,11/10/2021,1 year,0.0657, 36 months,3,7,Medium,36,,,
7500,major purchase,35000,OWN,11/10/2021,1 year,0.1179, 36 months,3,7,Medium,36,,,
5500,major purchase,20000,OWN,11/03/2021,1 year,0.2442, 36 months,3,7,Low,36,,,
5000,major purchase,38000,OWN,09/10/2021,1 year,0.1854, 36 months,3,7,Medium,36,,,
6000,major purchase,55316.04,OWN,11/06/2021,10+ years,0.123, 36 months,3,7,Medium,36,,,
4000,major purchase,60000,OWN,10/07/2021,10+ years,0.0426, 36 months,3,7,Medium,36,,,
8500,major purchase,150000,OWN,10/07/2021,10+ years,0.0482, 36 months,3,7,Medium,36,,,
5000,major purchase,65000,OWN,10/10/2021,10+ years,0.1569, 36 months,3,7,Medium,36,,,
7000,major purchase,90000,OWN,10/07/2021,10+ years,0.1539, 36 months,3,7,Medium,36,,,
5000,major purchase,100000,OWN,10/02/2021,10+ years,0.0314, 36 months,3,7,Medium,36,,,
6500,major purchase,57600,OWN,11/08/2021,10+ years,0.119, 36 months,3,7,Medium,36,,,
6000,major purchase,29553,OWN,11/09/2021,2 years,0.0881, 36 months,3,7,Low,36,,,
6000,major purchase,116000,OWN,11/03/2021,3 years,0.0725, 36 months,3,7,Medium,36,,,
9800,major purchase,53000,OWN,10/03/2021,3 years,0.0897, 36 months,3,7,Medium,36,,,
10000,major purchase,50004,OWN,11/05/2021,4 years,0.239, 36 months,3,7,Medium,36,,,
7000,major purchase,75360,OWN,11/08/2021,4 years,0.0726, 36 months,3,7,Medium,36,,,
6500,major purchase,42000,OWN,11/10/2021,5 years,0.1469, 36 months,3,7,Medium,36,,,
5000,major purchase,27996,OWN,10/11/2021,5 years,0.0797, 36 months,3,7,Low,36,,,
3250,major purchase,50000,OWN,10/07/2021,5 years,0.1385, 36 months,3,7,Medium,36,,,
7600,major purchase,75000,OWN,09/10/2021,5 years,0.105, 36 months,3,7,Medium,36,,,
4000,major purchase,50000,OWN,11/04/2021,6 years,0.126, 36 months,3,7,Medium,36,,,
12000,major purchase,90000,OWN,11/09/2021,6 years,0.0769, 36 months,3,7,Medium,36,,,
1000,major purchase,40000,OWN,10/08/2021,6 years,0.0882, 36 months,3,7,Medium,36,,,
5000,major purchase,61000,OWN,11/07/2021,7 years,0.1135, 36 months,3,7,Medium,36,,,
12000,major purchase,50000,OWN,11/06/2021,7 years,0.1325, 36 months,3,7,Medium,36,,,
9800,major purchase,60000,OWN,10/07/2021,8 years,0.076, 36 months,3,7,Medium,36,,,
4000,major purchase,78000,OWN,09/11/2021,8 years,0.0717, 36 months,3,7,Medium,36,,,
3425,major purchase,30000,OWN,11/01/2021,< 1 year,0.0344, 36 months,3,7,Medium,36,,,
7000,major purchase,24000,OWN,10/01/2021,< 1 year,0.1485, 36 months,3,7,Low,36,,,
6700,major purchase,13500,OWN,09/04/2021,< 1 year,0.064, 36 months,3,7,Low,36,,,
1200,major purchase,24000,OWN,09/10/2021,1 year,0.229, 36 months,3,7,Low,36,,,
4000,major purchase,33600,OWN,10/10/2021,10+ years,0.0964, 36 months,3,7,Medium,36,,,
5000,major purchase,60000,OWN,11/01/2021,10+ years,0.1584, 36 months,3,7,Medium,36,,,
6000,major purchase,24000,OWN,11/07/2021,10+ years,0.1025, 36 months,3,7,Low,36,,,
3000,major purchase,18000,OWN,11/09/2021,3 years,0.0467, 36 months,3,7,Low,36,,,
5000,major purchase,40000,OWN,09/10/2021,3 years,0.0762, 36 months,3,7,Medium,36,,,
2500,major purchase,49000,OWN,10/04/2021,4 years,0.1021, 36 months,3,7,Medium,36,,,
2000,major purchase,55000,OWN,09/11/2021,4 years,0.0188, 36 months,3,7,Medium,36,,,
10000,major purchase,69996,OWN,11/03/2021,4 years,0.1099, 36 months,3,7,Medium,36,,,
4400,major purchase,48000,OWN,11/07/2021,5 years,0.1793, 36 months,3,7,Medium,36,,,
4500,major purchase,19200,OWN,10/08/2021,7 years,0.0544, 36 months,3,7,Low,36,,,
5000,major purchase,70000,OWN,10/01/2021,9 years,0.0235, 36 months,3,7,Medium,36,,,
2500,major purchase,42000,OWN,10/08/2021,10+ years,0.0629, 36 months,3,7,Medium,36,,,
5000,major purchase,64000,OWN,11/01/2021,10+ years,0.0885, 36 months,3,7,Medium,36,,,
3200,major purchase,61717,OWN,08/04/2021,10+ years,0.1229, 36 months,3,7,Medium,36,,,
1000,major purchase,15600,OWN,11/04/2021,10+ years,0.2685, 36 months,3,7,Low,36,,,
2000,major purchase,28800,OWN,11/04/2021,2 years,0.0508, 36 months,3,7,Low,36,,,
4000,major purchase,80000,OWN,11/06/2021,10+ years,0.0373, 36 months,3,7,Medium,36,,,
2000,major purchase,15000,OWN,10/11/2021,10+ years,0.0688, 36 months,3,7,Low,36,,,
11000,major purchase,56700,OWN,10/02/2021,10+ years,0.1048, 36 months,3,7,Medium,36,,,
24100,major purchase,140000,OWN,09/12/2021,10+ years,0.1433, 36 months,3,7,Medium,36,,,
24000,major purchase,150000,OWN,09/12/2021,10+ years,0.0706, 36 months,3,7,Medium,36,,,
5000,major purchase,37000,OWN,11/09/2021,3 years,0.1145, 36 months,3,7,Medium,36,,,
7000,major purchase,81000,OWN,10/12/2021,4 years,0.044, 36 months,3,7,Medium,36,,,
4375,major purchase,16500,OWN,11/01/2021,6 years,0.1753, 36 months,3,7,Low,36,,,
2500,major purchase,25000,OWN,10/12/2021,9 years,0.023, 36 months,3,7,Low,36,,,
8000,major purchase,40000,OWN,10/03/2021,10+ years,0.1455, 36 months,3,7,Medium,36,,,
11000,major purchase,39996,OWN,11/04/2021,1 year,0.2754, 36 months,3,7,Medium,36,,,
3000,major purchase,27600,OWN,11/08/2021,1 year,0.2226, 36 months,3,7,Low,36,,,
8000,major purchase,42000,OWN,11/06/2021,10+ years,0.2197, 36 months,3,7,Medium,36,,,
12000,major purchase,57300,OWN,09/08/2021,10+ years,0.1627, 36 months,3,7,Medium,36,,,
20000,major purchase,45000,OWN,10/01/2021,4 years,0.1917, 36 months,3,7,Medium,36,,,
23500,major purchase,200000,OWN,10/01/2021,4 years,0.0067, 36 months,3,7,Medium,36,,,
11000,major purchase,55000,OWN,10/09/2021,5 years,0.209, 36 months,3,7,Medium,36,,,
12000,major purchase,51750,OWN,09/10/2021,5 years,0.247, 36 months,3,7,Medium,36,,,
6000,major purchase,40000,OWN,11/01/2021,5 years,0.1434, 36 months,3,7,Medium,36,,,
7500,major purchase,22000,OWN,08/08/2021,6 years,0.2002, 36 months,3,7,Low,36,,,
3000,major purchase,30000,OWN,09/12/2021,< 1 year,0.0148, 36 months,3,7,Medium,36,,,
17500,major purchase,135000,OWN,10/01/2021,< 1 year,0.1228, 36 months,3,7,Medium,36,,,
15000,major purchase,32000,OWN,09/11/2021,3 years,0.027, 36 months,3,7,Medium,36,,,
3075,major purchase,25000,OWN,09/10/2021,4 years,0.1291, 36 months,3,7,Low,36,,,
3600,major purchase,33000,OWN,09/05/2021,5 years,0.236, 36 months,3,7,Medium,36,,,
10000,major purchase,68000,OWN,09/11/2021,8 years,0.0536, 36 months,3,7,Medium,36,,,
12000,major purchase,96000,OWN,11/07/2021,2 years,0.1588, 36 months,3,7,Medium,36,,,
2500,major purchase,30000,OWN,09/12/2021,< 1 year,0.0952, 36 months,3,7,Medium,36,,,
2000,major purchase,25000,OWN,10/03/2021,4 years,0.2083, 36 months,3,7,Low,36,,,
10750,major purchase,25000,OWN,10/02/2021,2 years,0.1138, 36 months,3,7,Low,36,,,
7000,major purchase,65000,OWN,09/12/2021,3 years,0.0947, 36 months,3,7,Medium,36,,,
2000,major purchase,36000,OWN,09/10/2021,4 years,0.0783, 36 months,3,7,Medium,36,,,
5000,major purchase,35000,OWN,11/11/2021,6 years,0.1642, 36 months,3,7,Medium,36,,,
8000,major purchase,96000,OWN,11/06/2021,8 years,0.1045, 36 months,3,7,Medium,36,,,
3000,major purchase,12000,OWN,10/08/2021,< 1 year,0, 36 months,3,7,Low,36,,,
1400,major purchase,60000,OWN,10/05/2021,10+ years,0.0392, 36 months,3,7,Medium,36,,,
2000,major purchase,16500,OWN,10/08/2021,1 year,0.0887, 36 months,3,7,Low,36,,,
13750,major purchase,26000,OWN,10/02/2021,4 years,0.144, 36 months,3,7,Low,36,,,
7500,major purchase,28000,OWN,10/04/2021,1 year,0.159, 36 months,3,7,Low,36,,,
6400,major purchase,67000,OWN,09/12/2021,10+ years,0.1515, 36 months,3,7,Medium,36,,,
1800,major purchase,45600,OWN,10/05/2021,6 years,0.0395, 36 months,3,7,Medium,36,,,
1000,major purchase,100000,OWN,10/01/2021,< 1 year,0.0355, 36 months,3,7,Medium,36,,,
5000,major purchase,36000,OWN,09/12/2021,2 years,0.087, 36 months,3,7,Medium,36,,,
